id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
53,1-0039,G10039,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
54,1-0040,G10040,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-17,2024-04-22
55,1-0041,G10041,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
56,1-0042,G10042,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
57,1-0043,G10043,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
58,1-0044,G10044,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
59,1-0045-a,G10045a,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-16,2024-04-22
60,1-0045-b,G10045b,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-16,2024-04-22
61,1-0045,G10045,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-03,2024-04-22
62,1-0046-a,G10046a,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-17,2024-04-22
63,1-0046-b,G10046b,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-17,2024-04-22
64,1-0046,G10046,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-01,2024-04-22
65,1-0047,G10047,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
66,1-0048,G10048,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
67,1-0049,G10049,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
68,1-0050,G10050,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-16,2024-04-22
69,1-0051,G10051,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
70,1-0052,G10052,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
71,1-0053,G10053,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
72,1-0054,G10054,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
73,1-0055,G10055,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
74,1-0056,G10056,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
75,1-0057,G10057,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
76,1-0058,G10058,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-09,2024-04-22
77,1-0059,G10059,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-09,2024-04-22
78,1-0060,G10060,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,2018-01-09,2024-04-22
79,1-0061,G10061,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,2023-05-17,2024-04-22
80,1-0062,G10062,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,2018-01-09,2024-04-22
81,1-0063,G10063,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-09,2024-04-22
82,1-0064,G10064,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-09,2024-04-22
83,1-0065-A,G10065A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
84,1-0065-B,G10065B,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-17,2024-04-22
85,1-0065,G10065,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-01,2024-04-22
86,1-0066-A,G10066A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-17,2024-04-22
87,1-0066-B,G10066B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
88,1-0066-C,G10066C,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-17,2024-04-22
89,1-0067,G10067,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
90,1-0068,G10068,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
91,1-0069,G10069,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
92,1-0070,G10070,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
93,1-0071,G10071,H:\Gold-Models\,H:\Gold-Models\, , production,16/03/2021, ,Not Available,2018-01-09,2024-04-22
94,1-0072,G10072,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-09,2024-04-22
95,1-0073,G10073,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-17,2024-04-22
96,1-0074,G10074,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-16,2024-04-22
97,1-0075,G10075,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
98,1-0076,G10076,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
99,1-0077-A,G10077A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-23,2024-04-22
100,1-0077-B,G10077B,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-18,2024-04-22
101,1-0077,G10077,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-01,2024-04-22
102,1-0078-A,G10078A,H:\Gold-Models\,H:\Gold-Models\, , production,15/10/2020, ,Not Available,2023-06-14,2024-04-22
103,1-0078-B,G10078B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-14,2024-04-22
104,1-0078,G10078,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-14,2024-04-22
105,1-0079-A,G10079A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-03-07,2024-04-22
106,1-0079-B,G10079B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-15,2024-04-22
107,1-0079-C,G10079C,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
108,1-0079,G10079,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-15,2024-04-22
109,1-0080,G10080,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
110,1-0081,G10081,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
111,1-0082,G10082,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
112,1-0083,G10083,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
113,1-0084,G10084,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
114,1-0085,G10085,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
115,1-0086,G10086,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
116,1-0087,G10087,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
117,1-0088,G10088,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
118,1-0089,G10089,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-18,2024-04-22
119,1-0090,G10090,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
