id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
1895,2-0271,G20271,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1896,2-0272,G20272,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1897,2-0273,G20273,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1898,2-0274,G20274,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1899,2-0275,G20275,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1900,2-0276,G20276,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1901,2-0277,G20277,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2017-09-23,2024-04-22
1902,2-0278,G20278,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2022-12-26,2024-04-22
1903,2-0279,G20279,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1904,2-0280,G20280,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1905,2-0281,G20281,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1906,2-0282,G20282,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1907,2-0283,G20283,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1908,2-0284,G20284,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1909,2-0285,G20285,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1910,2-0286,G20286,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1911,2-0287,G20287,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1912,2-0288,G20288,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1913,2-0289,G20289,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1914,2-0290,G20290,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1915,2-0291,G20291,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1916,2-0292,G20292,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1917,2-0293,G20293,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1918,2-0294,G20294,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1919,2-0295,G20295,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1920,2-0296,G20296,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-03-04,2024-04-22
1921,2-0297,G20297,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1922,2-0298,G20298,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1923,2-0299,G20299,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1924,2-0300,G20300,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1925,2-0301,G20301,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1926,2-0302,G20302,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1927,2-0303,G20303,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1928,2-0304,G20304,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-01,2024-04-22
1929,2-0305,G20305,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1930,2-0306,G20306,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-06-13,2024-04-22
1931,2-0307,G20307,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1932,2-0308,G20308,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1933,2-0309,G20309,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1934,2-0310,G20310,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,2017-09-23,2024-04-22
1935,2-0311,G20311,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2017-09-23,2024-04-22
1936,2-0312,G20312,H:\Gold-Models\,H:\Gold-Models\, , production,07/12/2020, ,Not Available,2017-09-23,2024-04-22
1937,2-0313,G20313,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1938,2-0314,G20314,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1939,2-0315,G20315,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1940,2-0316,G20316,H:\Gold-Models\,H:\Gold-Models\, , production,20/05/2021, ,Not Available,2017-09-23,2024-04-22
1941,2-0317,G20317,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1942,2-0318,G20318,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1943,2-0319,G20319,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2017-09-23,2024-04-22
1944,2-0320,G20320,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1945,2-0321,G20321,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1946,2-0322,G20322,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1947,2-0323,G20323,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1948,2-0324,G20324,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1949,2-0325,G20325,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1950,2-0326,G20326,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1951,2-0327,G20327,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1952,2-0328,G20328,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1953,2-0329,G20329,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1954,2-0330,G20330,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1955,2-0331,G20331,H:\Gold-Models\,H:\Gold-Models\, ,Italian,Italian, ,Not Available,2023-03-03,2024-04-22
1956,2-0332,G20332,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1957,2-0333,G20333,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,2023-05-30,2024-04-22
1958,2-0334,G20334,H:\Gold-Models\,H:\Gold-Models\,**,Italian,Italian, ,Not Available,2023-03-08,2024-04-22
1959,2-0335,G20335,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-06-01,2024-04-22
1960,2-0336,G20336,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1961,2-0337,G20337,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1962,2-0338,G20338,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-30,2024-04-22
1963,2-0339,G20339,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,2023-05-30,2024-04-22
1964,2-0340,G20340,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1965,2-0341,G20341,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1966,2-0342,G20342,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1967,2-0343,G20343,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1968,2-0344,G20344,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1969,2-0345,G20345,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,2023-06-12,2024-04-22
1970,2-0346,G20346,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1971,2-0347,G20347,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1972,2-0348,G20348,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2017-09-23,2024-04-22
1973,2-0349,G20349,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1974,2-0350,G20350,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1975,2-0351,G20351,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1976,2-0352,G20352,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1977,2-0353,G20353,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1978,2-0354,G20354,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1979,2-0355,G20355,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1980,2-0356,G20356,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2017-09-23,2024-04-22
1981,2-0357,G20357,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1982,2-0358,G20358,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1983,2-0359,G20359,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1984,2-0360,G20360,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1985,2-0361,G20361,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2017-09-23,2024-04-22
1986,2-0362,G20362,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-06-13,2024-04-22
1987,2-0363,G20363,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
1988,2-0364,G20364,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
1989,2-0365,G20365,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
1990,2-0366,G20366,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
1991,2-0367-A,G20367A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-06-06,2024-04-22
1992,2-0367-B,G20367B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-05,2024-04-22
1993,2-0367,G20367,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-08,2024-04-22
1994,2-0368,G20368,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
1995,2-0369,G20369,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-12,2024-04-22
1996,2-0370,G20370,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
1997,2-0371,G20371,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
1998,2-0372,G20372,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
1999,2-0373,G20373,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2000,2-0374,G20374,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2001,2-0375,G20375,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2002,2-0376,G20376,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2003,2-0377,G20377,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2004,2-0378,G20378,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2005,2-0379,G20379,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2006,2-0380,G20380,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2007,2-0381,G20381,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2008,2-0382,G20382,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2009,2-0383,G20383,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
2010,2-0384,G20384,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2011,2-0385,G20385,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-08,2024-04-22
2012,2-0386,G20386,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2013,2-0387,G20387,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2014,2-0388,G20388,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2015,2-0389,G20389,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2016,2-0390,G20390,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,0.07,2023-06-01,2024-04-22
2017,2-0391,G20391,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-14,2024-04-22
2018,2-0392,G20392,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2019,2-0393,G20393,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2020,2-0394,G20394,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2021,2-0395,G20395,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2022,2-0396,G20396,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,0.15,2023-06-12,2024-04-22
2023,2-0397,G20397,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2024,2-0398,G20398,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2025,2-0399,G20399,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
2026,2-0400,G20400,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-03,2024-04-22
2027,2-0401,G20401,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2028,2-0402,G20402,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
2029,2-0403,G20403,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2030,2-0404,G20404,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2031,2-0405,G20405,H:\Gold-Models\,H:\Gold-Models\, , production, , ,0.51,2018-01-23,2024-04-22
2032,2-0406,G20406,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2033,2-0407,G20407,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2034,2-0408,G20408,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-03,2024-04-22
2035,2-0409,G20409,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2036,2-0410,G20410,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-04,2024-04-22
2037,2-0411,G20411,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2038,2-0412,G20412,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2039,2-0413,G20413,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2040,2-0414,G20414,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2041,2-0415,G20415,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2042,2-0416,G20416,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2043,2-0417,G20417,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2044,2-0418,G20418,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2045,2-0419,G20419,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2046,2-0420,G20420,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2047,2-0421,G20421,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2048,2-0422,G20422,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2049,2-0423,G20423,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-29,2024-04-22
2050,2-0424,G20424,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2051,2-0425,G20425,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2052,2-0426,G20426,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-30,2024-04-22
2053,2-0427,G20427,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-12,2024-04-22
2054,2-0428,G20428,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2055,2-0429,G20429,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2056,2-0430,G20430,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2057,2-0431,G20431,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2058,2-0432,G20432,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2059,2-0433,G20433,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-29,2024-04-22
2060,2-0434,G20434,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2061,2-0435,G20435,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2062,2-0436,G20436,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2063,2-0437,G20437,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2064,2-0438,G20438,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-30,2024-04-22
2065,2-0439,G20439,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
2066,2-0440,G20440,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2067,2-0441,G20441,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2068,2-0442,G20442,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,0.05,2023-05-30,2024-04-22
2069,2-0443,G20443,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-06-13,2024-04-22
2070,2-0444,G20444,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-03-04,2024-04-22
2071,2-0445,G20445,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,2018-01-23,2024-04-22
2072,2-0446,G20446,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,0.15,2023-06-01,2024-04-22
2073,2-0447,G20447,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2074,2-0448,G20448,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2075,2-0449,G20449,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2076,2-0450,G20450,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Sadaf,0.35,2023-10-17,2024-04-22
2077,2-0451,G20451,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2078,2-0452,G20452,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2079,2-0453,G20453,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2080,2-0454,G20454,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Sadaf,0.4,2023-06-12,2024-04-22
2081,2-0455,G20455,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2082,2-0456,G20456,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2083,2-0457,G20457,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
2084,2-0458,G20458,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2085,2-0459,G20459,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2086,2-0460,G20460,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2087,2-0461,G20461,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2088,2-0462,G20462,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2089,2-0463,G20463,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2090,2-0464,G20464,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2091,2-0465,G20465,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-13,2024-04-22
2092,2-0466,G20466,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2093,2-0467,G20467,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2094,2-0468,G20468,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2095,2-0469,G20469,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-14,2024-04-22
2096,2-0470,G20470,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-30,2024-04-22
2097,2-0471,G20471,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2098,2-0472,G20472,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-03,2024-04-22
2099,2-0473,G20473,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-03-11,2024-04-22
2100,2-0474,G20474,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2101,2-0475,G20475,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,2018-01-23,2024-04-22
2102,2-0476,G20476,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2103,2-0477,G20477,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2104,2-0478,G20478,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2105,2-0479,G20479,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-01,2024-04-22
2106,2-0480,G20480,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-01,2024-04-22
2107,2-0481,G20481,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2108,2-0482,G20482,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2109,2-0483,G20483,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-30,2024-04-22
2110,2-0484,G20484,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2111,2-0485,G20485,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2112,2-0486,G20486,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2022-12-28,2024-04-22
2113,2-0487,G20487,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2022-12-27,2024-04-22
2114,2-0488,G20488,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-31,2024-04-22
2115,2-0489,G20489,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2116,2-0490,G20490,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-23,2024-04-22
2117,2-0491,G20491,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2118,2-0492,G20492,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2119,2-0493,G20493,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2120,2-0494,G20494,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2121,2-0495,G20495,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-06-03,2024-04-22
2122,2-0496,G20496,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2123,2-0497,G20497,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2124,2-0498,G20498,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
2125,2-0499,G20499,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-23,2024-04-22
