id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
8907,7-1038,G71038,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,25/05/2023,22/04/2024
8908,7-1039,G71039,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,24/05/2023,22/04/2024
8909,7-1040,G71040,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,14/06/2019,22/04/2024
8910,7-1041,G71041,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,14/06/2019,22/04/2024
8911,7-1042,G71042,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.20,21/03/2023,22/04/2024
8912,7-1043,G71043,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,14/06/2019,22/04/2024
8913,7-1044,G71044,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.13,06/08/2022,22/04/2024
8914,7-1045,G71045,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.10,12/04/2023,22/04/2024
8915,7-1046,G71046,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.07,11/04/2023,22/04/2024
8916,7-1047,G71047,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,1.05,11/04/2023,22/04/2024
8917,7-1048,G71048,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,14/06/2019,22/04/2024
8918,7-1049,G71049,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,08/07/2019,22/04/2024
8919,7-1050,G71050,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,23/05/2023,22/04/2024
8920,7-1051,G71051,H:\Gold-Models\,H:\Gold-Models\, , production,02/11/2021, ,Not Available,08/07/2019,22/04/2024
8921,7-1052,G71052,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,08/07/2019,22/04/2024
8922,7-1053,G71053,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,08/07/2019,22/04/2024
8923,7-1054,G71054,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,08/07/2019,22/04/2024
8924,7-1055,G71055,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,08/07/2019,22/04/2024
8925,7-1056,G71056,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,0.24,13/01/2023,22/04/2024
8926,7-1057,G71057,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,0.50,15/06/2023,22/04/2024
8927,7-1058,G71058,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.15,15/06/2023,22/04/2024
8928,7-1059,G71059,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.19,15/06/2023,22/04/2024
8929,7-1060,G71060,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,10/07/2019,22/04/2024
8930,7-1061,G71061,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,10/07/2019,22/04/2024
8931,7-1062,G71062,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,0.21,11/04/2023,22/04/2024
8932,7-1063,G71063,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,10/07/2019,22/04/2024
8933,7-1064,G71064,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.18,11/04/2023,22/04/2024
8934,7-1065,G71065,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,10/07/2019,22/04/2024
8935,7-1066,G71066,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,17/01/2024,22/04/2024
8936,7-1067,G71067,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,0.21,13/01/2023,22/04/2024
8937,7-1068,G71068,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,26/08/2019,22/04/2024
8938,7-1069,G71069,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,30/03/2023,22/04/2024
8939,7-1070,G71070,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,30/03/2023,22/04/2024
8940,7-1071,G71071,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,14/04/2021,22/04/2024
8941,7-1072-B,G71072B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,19/12/2022,22/04/2024
8942,7-1072,G71072,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,30/03/2023,22/04/2024
8943,7-1073-A,G71073A,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,1.11,24/05/2023,22/04/2024
8944,7-1073-B,G71073B,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,1.83,23/05/2023,22/04/2024
8945,7-1074,G71074,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.47,30/05/2023,22/04/2024
8946,7-1075-A,G71075A,H:\Gold-Models\,H:\Gold-Models\,***, production,13/08/2021,Semi,0.34,30/03/2023,22/04/2024
8947,7-1075-B,G71075B,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.36,30/03/2023,22/04/2024
8948,7-1075-C,G71075C,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,17/11/2022,22/04/2024
8949,7-1075-D Blue,G71075D Blue,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,06/01/2023,22/04/2024
8950,7-1075-D Green,G71075D Green,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,06/01/2023,22/04/2024
8951,7-1075-D Red,G71075D Red,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,06/01/2023,22/04/2024
8952,7-1075-D,G71075D,H:\Gold-Models\,H:\Gold-Models\,***, production,17/11/2022,Semi,0.33,17/11/2022,22/04/2024
8953,7-1075,G71075,H:\Gold-Models\,H:\Gold-Models\, , production, , ,0.35,25/12/2023,22/04/2024
8954,7-1076,G71076,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,1.36,12/04/2023,22/04/2024
8955,7-1077,G71077,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,Not Available,11/04/2023,22/04/2024
